outcome,k,cell,HR,lo,hi
rectum,0,6,1.141575163843774,0.8186557996347336,1.5918703016412958
rectum,0,7,0.4592804969866412,0.3319538977741371,0.6354453926485287
rectum,0,8,0.710541067357964,0.5153367766692608,0.9796867432308554
rectum,0,9,0.6041641422181518,0.4429961082677852,0.8239673079058947
rectum,1,1,1.6203319088946726,1.0019718716631056,2.620308582739357
rectum,1,2,1.463159356775358,1.0305160310003791,2.077440077512479
rectum,1,3,1.6287284123276828,1.1110598883705383,2.3875906860555847
rectum,1,5,1.4019431050044004,0.9383632637503025,2.0945454128438494
rectum,1,6,1.185272138533284,0.854413285658451,1.6442511673968245
rectum,1,7,0.7007480200972274,0.46640126160159323,1.0528440381656694
rectum,1,8,0.7939057442259917,0.5790541646526456,1.0884756024388713
rectum,1,9,1.1274813614852468,0.7507148965447958,1.6933382118131066
rectum,2,1,1.1585574834604206,0.7732129521027865,1.735945367743544
rectum,2,2,1.3125586053319866,0.9237859378564462,1.8649451369964125
rectum,2,3,0.987716056929661,0.6577865563761325,1.4831300513214258
rectum,2,5,1.0595592962593054,0.7514613317358982,1.4939769418289597
rectum,2,6,0.5055516120819823,0.32536279085725495,0.7855306127823993
rectum,2,7,0.6920999533698314,0.5088024087649873,0.9414309704570819
rectum,2,8,0.668682065317553,0.4516294450046378,0.9900499389997847
prostate,0,1,0.9507491219523703,0.7281282067899256,1.2414350720985003
prostate,0,2,0.9265831898511835,0.7679354046811817,1.1180060230081916
prostate,0,3,0.7759291189563825,0.6245909926718918,0.9639364075182932
prostate,0,5,0.8334168210762611,0.7025008638704545,0.9887298840118526
prostate,0,6,0.6468382412565014,0.5178339275956331,0.8079804896030769
prostate,0,7,0.6940330959314268,0.5754011543032083,0.8371236912645094
prostate,0,8,0.4959734167611935,0.4064861048900232,0.6051612273446006
prostate,0,9,0.48494640317151727,0.3963145205813458,0.5933999430654754
prostate,1,1,0.8880030839924874,0.700174647789177,1.1262182652143116
prostate,1,2,0.9693315849654647,0.8065104148197509,1.1650236678241215
prostate,1,3,0.7971966385969673,0.6508192516197742,0.976496130083123
prostate,1,5,0.7600438604781019,0.6162932524438797,0.9373243460961944
prostate,1,6,0.7315522940229704,0.6295877002284851,0.8500305179025116
prostate,1,7,0.5783151289668306,0.46454906921538536,0.7199420051724545
prostate,1,8,0.5244956888408598,0.44329625202984735,0.6205685844466055
prostate,1,9,0.41769240408974306,0.3081695830158735,0.5661394052159996
prostate,2,1,1.103596066251909,0.9529332096643677,1.2780793712453915
prostate,2,2,0.9353200990358038,0.8034008130169044,1.0889006750879884
prostate,2,3,1.1858463933280927,0.9938558627800516,1.414925162926222
prostate,2,5,0.8387204250432684,0.740959344366348,0.9493799582031552
prostate,2,6,0.8000624553225785,0.685694653093612,0.9335057952237021
prostate,2,7,0.6136220949577691,0.5345278581661395,0.7044199281065897
prostate,2,8,0.559981158083105,0.48943885191627895,0.640690652530655
breast,0,1,1.1165066143071514,0.8783344620464574,1.4192623353149079
breast,0,2,1.1673179973431407,0.9854876256881167,1.3826975310519434
breast,0,3,1.070075529012438,0.8959764928621322,1.2780041071540083
breast,0,5,0.9949700344299989,0.8359548779308194,1.1842330196864514
breast,0,6,0.9792414453176306,0.8425334581189796,1.1381314284759805
breast,0,7,0.7665468627683943,0.6307964067991444,0.9315114773746118
breast,0,8,0.8384913288459006,0.7216985405945504,0.9741847447419836
breast,0,9,0.6390873550544238,0.5332878752472625,0.7658764925062036
breast,1,1,1.3189560844419992,1.1432623060718354,1.521650056550768
breast,1,2,1.205881249276769,1.0655864465848959,1.3646472250259127
breast,1,3,1.303728227885714,1.1104022395747104,1.5307131340414268
breast,1,5,1.1407327415897879,1.0100413404298845,1.2883345816133813
breast,1,6,1.0142697024484564,0.8930685334026021,1.1519194673507942
breast,1,7,0.8454550953895249,0.7435348026759567,0.9613461478166051
breast,1,8,0.813616262553371,0.7176108313679197,0.9224657624376389
breast,1,9,0.7863234996682045,0.6799593268657806,0.9093259283323307
breast,2,1,1.188171655125346,1.033145322234127,1.3664601210122684
breast,2,2,1.1066202590076089,0.9779448889948786,1.252226389673867
breast,2,3,1.036187088514892,0.8602602670123224,1.24809168059553
breast,2,5,1.0381817663439386,0.9151469472313165,1.1777577177412422
breast,2,6,0.7920591006456585,0.6825328603941725,0.9191610475037075
breast,2,7,0.8703685828886797,0.7675843629311377,0.986916235743601
breast,2,8,0.660335753586295,0.5806932287923448,0.7509013121630678
